t,z0,z1,z2,z3
0.0,0.0,0.0,0.042713516624723724,0.0002255490453433365
0.01,-0.003062797253540627,0.00022796887683564746,0.0386553031246138,0.0031885500719831717
0.02,-0.0050152248750343475,-0.0016848653721653244,0.03453741602085279,0.006162982851472544
0.03,-0.005371032282220022,-0.00468930897726868,0.03046185643282942,0.009047537765390619
0.04,-0.004846241590090536,-0.00711693463318452,0.026526933344503983,0.011744678032158245
0.05,-0.004666587806969421,-0.0077979328654660006,0.022823616578729135,0.014164288287917895
0.06,-0.005666407641102849,-0.00674940590679617,0.019432167165942475,0.016227045779720922
0.07,-0.007842997636768856,-0.005087529639834347,0.016419172897550058,0.0178673863691349
0.08,-0.010584014896107911,-0.004319693117168076,0.01383510276878501,0.01903595163695643
0.09,-0.013236740901510594,-0.005504210090525753,0.011712468923668222,0.0197014284927663
0.1,-0.015489171182503937,-0.008755019379052601,0.010064664865980516,0.01985171252141186
0.11,-0.01730345290531189,-0.013286143675272017,0.008885522987279975,0.019494352019409116
0.12,-0.018602649422848266,-0.01785236889059704,0.008149613605402893,0.018656250504004154
0.13,-0.01913500425851053,-0.02126562821198085,0.007813269300912357,0.017382643928468767
0.14,-0.018728860034773635,-0.022732068461600616,0.007816296174196387,0.0157353909802869
0.15,-0.017714330076432746,-0.021961712761007657,0.008084308233728752,0.013790640256146463
0.16,-0.01704010253310689,-0.019166270102147706,0.008531600377100672,0.011635958837525112
0.17,-0.0178152799689184,-0.015053883691846811,0.009064450764833473,0.009367031463372337
0.18,-0.02051368475954664,-0.010784669249021314,0.009584726637612243,0.007084056267386359
0.19,-0.024450539960901282,-0.007737077534940958,0.009993660296354184,0.00488797035600542
0.2,-0.028025762990317473,-0.007009272658670846,0.010195655206013864,0.002876645270201845
0.21,-0.029665047002898987,-0.008832029185284829,0.01010197753070763,0.001141196996374307
0.22,-0.02881451820990697,-0.012291126741842337,0.009634194262180156,-0.00023745061067305596
0.23,-0.02624607201374419,-0.01569716560918728,0.008727230470401472,-0.0011916215242913995
0.24,-0.023422373459979905,-0.017543981334062608,0.007331932791691638,-0.0016694493039414802
0.25,-0.021392841191356444,-0.017504848166065266,0.005417043851437794,-0.0016368579474239382
0.26,-0.020074640481383074,-0.016734795621809986,0.0029704081724108307,-0.001078538937889206
0.27,-0.01848550268173836,-0.017125288575071642,0.0,0.0
0.28,-0.015748011603461114,-0.019907326878307856,-0.003062797253540618,0.0002279688768356506
0.29,-0.012058023900577334,-0.02458393030663723,-0.005015224875034339,-0.001684865372165305
0.3,-0.008804752735530257,-0.02908052830904186,-0.005371032282220024,-0.00468930897726866
