zip,size_bytes,mapped_py,missing_py,diff_py,sample_missing_py,sample_diff_py,score
UnifiedPneumoApp_v5.zip,62618382,173,17,54,pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/compare_ui.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/osc_index.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/__init__.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app_backup_before_ui_refactor.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,88
UnifiedPneumoApp_latest.zip,59064482,174,17,46,pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/compare_ui.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/osc_index.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/__init__.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app_backup_before_ui_refactor.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,80
UnifiedPneumoApp_latest_WINSAFE.zip,58707444,174,17,46,pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/compare_ui.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/osc_index.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/__init__.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app_backup_before_ui_refactor.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,80
UnifiedPneumoApp_v4.zip,60806767,164,8,54,pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/compare_ui.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/osc_index.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/__init__.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app_backup_before_ui_refactor.py;pneumo_solver_ui/_vendors/pneumo_solver_ui_refactored/app.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,70
UnifiedPneumoApp_UNIFIED_v6_13_WINSAFE.zip,4856665,177,8,52,pneumo_solver_ui/pages/05_DBQueue_R61.py;pneumo_solver_ui/pages/06_DBQueue_SplitRoles_R62.py;pneumo_solver_ui/tools/dbqueue_controller.py;pneumo_solver_ui/tools/dbqueue_ctl.py;pneumo_solver_ui/tools/dbqueue_proposer.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,68
NEW32.zip,117536823,2248,0,57,,app.py;START_PNEUMO_APP.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py,57
Mechanika640P07v678.zip,16744967,263,0,57,,app.py;pneumo_solver_ui/autonomous_self_checks.py;pneumo_solver_ui/calibration/mo_metrics_v1.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/compare_ui.py,57
Interfeis639 (1).zip,2488848,201,0,57,,pneumo_solver_ui/desktop_animator/main.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,57
AnimaciyaV639R66.zip,6282142,200,0,57,,pneumo_solver_ui/desktop_animator/main.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,57
Mechanika649v654.zip,4088507,201,0,56,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,56
DiagrammyV639WinSafeChartsSuite.zip,6769474,199,0,56,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,56
Interfeis639.zip,5860805,199,0,56,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,56
Mechanika639R1v646.zip,3889702,197,0,56,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,56
FizikaV639R1.zip,3854986,197,0,56,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,56
Mechanika639v645.zip,4330615,200,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,55
Mechanika649v652.zip,3992423,200,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,55
InterfeisV649R67.zip,3976824,200,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,55
Mechanika639v647.zip,3921808,200,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,55
AnimaciyaV649R67.zip,4013975,199,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,55
Testy639.zip,3875293,199,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
AlgoritmyOptimizatsiiSixThirtyNineSixFortyTwoRobustAshaCacheActiveSetPack.zip,4013336,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
Mechanika642v649.zip,3981521,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
Mechanika642v648.zip,3977082,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
RealizatsiyaOptimizatsii642.zip,3970668,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
