диаметр_поршня_Ц1,диаметр_поршня_Ц2,низ_Ц1_перед_доля_рычага,низ_Ц1_зад_доля_рычага,низ_Ц2_перед_доля_рычага,низ_Ц2_зад_доля_рычага,верх_Ц1_перед_x_относительно_оси_ступицы_м,верх_Ц1_зад_x_относительно_оси_ступицы_м,верх_Ц2_перед_x_относительно_оси_ступицы_м,верх_Ц2_зад_x_относительно_оси_ступицы_м,верх_Ц1_перед_z_относительно_рамы_м,верх_Ц1_зад_z_относительно_рамы_м,верх_Ц2_перед_z_относительно_рамы_м,верх_Ц2_зад_z_относительно_рамы_м,ход_штока_Ц1_перед_м,ход_штока_Ц1_зад_м,ход_штока_Ц2_перед_м,ход_штока_Ц2_зад_м,объём_ресивера_2,объём_ресивера_3,объём_аккумулятора,давление_Pmin_питание_Ресивер2,давление_Pmin_сброс,давление_Pmid_сброс,давление_Pзаряд_аккумулятора_из_Ресивер3,открытие_дросселя_Ц2_CAP_в_ROD,открытие_дросселя_Ц2_ROD_в_CAP,пружина_масштаб,candidate,score_ring,penalty_ring,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span_mean,p3_final_bar_abs,pacc_final_bar_abs,pneu_share
0.04,0.045,0.78,0.78,0.55,0.68,0.05,0.05,-0.1,-0.1,0.58,0.52,0.45,0.45,0.22,0.22,0.28,0.28,0.003,0.0015,0.002,405300.0,601325.0,781325.0,851325.0,0.18,0.16,0.12,0,,8.200000000000003,1.8092164736956342,0.04554405403374922,5.566832835597681,2.0228688969156967,,0.0,1.0,0.7899724284067451,7.628417973003529,3.9525372645165024,0.12370506233000406
0.045,0.055,0.85,0.85,0.55,0.82,0.08,0.02,-0.03,-0.1,0.58,0.52,0.58,0.45,0.22,0.25,0.28,0.28,0.002,0.003,0.003,405300.0,551325.0,781325.0,781325.0,0.18,0.24,0.16,1,,4.200000000000004,2.6933290313947684,0.04508847729859621,5.210940722769407,2.4136786157825036,,0.09531620916419849,1.0,0.7181234313191889,7.800730125126069,5.593482761377564,0.20486053024047707
0.05,0.055,0.85,0.92,0.68,0.82,0.08,0.05,-0.1,-0.06,0.45,0.58,0.45,0.52,0.28,0.28,0.28,0.25,0.002,0.0015,0.003,505300.0,601325.0,781325.0,851325.0,0.26,0.16,0.14,2,,4.200000000000004,2.8068456019993557,0.04443756916863026,5.449802317066746,2.263754540317282,,0.19947363923775097,1.0,0.6672727765109137,8.14810707064266,4.406895471956093,0.26059781008337934
0.045,0.055,0.92,0.85,0.82,0.55,0.05,0.05,-0.03,-0.1,0.52,0.52,0.45,0.58,0.28,0.25,0.22,0.25,0.001,0.002,0.003,405300.0,651325.0,851325.0,781325.0,0.18,0.16,0.12,3,,5.220348851482389,2.049238769582048,0.0437586479582116,6.0500180988086525,2.6390020597847608,,0.059593022970352294,1.0,0.7639713932690775,7.75297039013145,7.37826125926328,0.2204766395643636
0.04,0.045,0.92,0.78,0.55,0.68,0.02,0.08,-0.03,-0.03,0.58,0.58,0.45,0.58,0.25,0.25,0.22,0.28,0.002,0.002,0.003,455300.0,651325.0,781325.0,911325.0,0.26,0.24,0.14,4,,8.200000000000003,2.435742197866915,0.05141933998487799,5.361887122605114,2.912959645421415,,0.0,1.0,0.7991987307800885,7.796265221543546,3.6615694863508614,0.1417181109739939
0.05,0.055,0.85,0.78,0.55,0.82,0.05,0.02,-0.03,-0.1,0.58,0.58,0.58,0.52,0.25,0.25,0.28,0.28,0.003,0.0015,0.003,505300.0,551325.0,851325.0,781325.0,0.36,0.16,0.14,5,,4.200000000000004,2.4502598080142604,0.04485429987004991,5.389148367544002,2.1909101420930366,,0.11942748492912214,1.0,0.6898812926121111,7.794703921605708,6.023435790326557,0.22404330626299224
0.04,0.045,0.78,0.85,0.82,0.68,0.08,0.08,-0.03,-0.06,0.52,0.52,0.45,0.45,0.28,0.22,0.22,0.22,0.003,0.0015,0.003,455300.0,651325.0,851325.0,911325.0,0.26,0.1,0.16,6,,7.154313844345789,2.622249784916496,0.047954636105607386,5.114383160978987,2.5768911267817787,,0.0209137231130843,1.0,0.8287109988993374,8.396333250207366,3.64949193542502,0.16554701181950024
0.04,0.05,0.85,0.78,0.55,0.55,0.08,0.02,-0.1,-0.06,0.58,0.52,0.45,0.45,0.22,0.28,0.25,0.28,0.001,0.0015,0.003,455300.0,551325.0,851325.0,781325.0,0.26,0.1,0.14,7,,8.200000000000003,2.4006683549101875,0.05244787334374355,5.282884140879918,2.903168937595981,,0.0,1.0,0.8088780108777996,7.770769870551701,4.885138886405252,0.14620895009796436
0.05,0.055,0.78,0.78,0.82,0.55,0.02,0.05,-0.1,-0.1,0.45,0.52,0.58,0.58,0.25,0.25,0.28,0.25,0.003,0.003,0.002,455300.0,651325.0,851325.0,781325.0,0.26,0.16,0.12,8,,8.200000000000003,1.581917644919291,0.03852601856027255,6.580710420956093,2.2835597905145875,,0.0,1.0,0.799680298610372,7.812795336887358,4.534447166216605,0.2175188359417392
0.05,0.05,0.78,0.92,0.55,0.68,0.02,0.02,-0.03,-0.03,0.45,0.58,0.52,0.52,0.25,0.22,0.28,0.28,0.003,0.002,0.003,405300.0,601325.0,851325.0,911325.0,0.18,0.16,0.14,9,,4.200000000000004,2.8656567701960007,0.04713230979563482,5.326868166554908,2.086750001707241,,0.11886429436770118,1.0,0.6754883409735479,8.482512282378002,4.830806301465775,0.19299323651777672
0.045,0.05,0.78,0.85,0.82,0.55,0.08,0.02,-0.06,-0.06,0.45,0.52,0.45,0.52,0.25,0.25,0.28,0.22,0.002,0.002,0.003,455300.0,551325.0,781325.0,911325.0,0.26,0.16,0.14,10,,7.125229516785599,2.253173810685673,0.04519669948677174,5.180838097577229,2.5962560039001406,,0.02149540966428809,1.0,0.7764612669753599,7.777256177941366,3.443013054641462,0.18126444692359464
0.04,0.055,0.92,0.78,0.55,0.68,0.05,0.02,-0.1,-0.06,0.45,0.45,0.45,0.52,0.22,0.28,0.22,0.28,0.003,0.003,0.003,455300.0,551325.0,851325.0,781325.0,0.26,0.24,0.12,11,,5.8229871859662925,1.762114113141371,0.04179244561938041,5.678779210274952,2.2401463337006473,,0.04754025628067423,1.0,0.7536280302033449,7.699804837804963,3.7617726107316156,0.1685590590076292
0.05,0.055,0.85,0.78,0.82,0.68,0.05,0.08,-0.1,-0.03,0.58,0.58,0.45,0.45,0.25,0.25,0.28,0.28,0.002,0.0015,0.003,455300.0,601325.0,851325.0,911325.0,0.36,0.16,0.14,12,,4.200000000000004,2.305669462338892,0.04333023614776378,5.627708393997314,2.7869657326221926,,0.10954104462605274,1.0,0.7304891009112258,8.563733928092882,4.451226749703627,0.26034947134554676
0.05,0.05,0.85,0.92,0.82,0.55,0.05,0.08,-0.1,-0.1,0.58,0.52,0.58,0.52,0.22,0.28,0.22,0.22,0.003,0.003,0.003,455300.0,651325.0,851325.0,781325.0,0.26,0.24,0.16,13,,4.200000000000004,2.605466755148709,0.045164139115092726,5.241189386031628,2.4391007873232144,,0.12299654212190471,1.0,0.7873401432342088,8.433082271084071,8.738202444438635,0.2156738261586991
