         5808924 function calls (5808789 primitive calls) in 3.434 seconds

   Ordered by: cumulative time
   List reduced from 442 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.072    0.003    3.433    0.143 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:11917(update_frame)
       96    0.037    0.000    1.209    0.013 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\geom3d_helpers.py:906(road_patch_mesh_inside_wheel_cylinder)
    27368    0.156    0.000    1.063    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\geom3d_helpers.py:943(_tri_state)
    29912    0.319    0.000    0.739    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\geom3d_helpers.py:869(_points_inside_wheel_cylinder_mask)
       96    0.006    0.000    0.486    0.005 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:5973(_wheel_rim_mesh)
      288    0.129    0.000    0.450    0.002 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:7842(_tube_mesh_from_polyline)
    13200    0.132    0.000    0.412    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\_core\numeric.py:1556(cross)
    62215    0.123    0.000    0.314    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\geom3d_helpers.py:153(_safe_normalize)
    92686    0.143    0.000    0.259    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\linalg\_linalg.py:2623(norm)
    39600    0.068    0.000    0.253    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\_core\numeric.py:1482(moveaxis)
     3600    0.099    0.000    0.229    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:6850(_scene_grade_color_array)
     3024    0.016    0.000    0.213    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:6903(_scene_graded_rgba)
    29567    0.075    0.000    0.212    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\_core\shape_base.py:220(vstack)
      119    0.087    0.001    0.158    0.001 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\geom3d_helpers.py:271(grid_faces_rect)
    79200    0.098    0.000    0.155    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\_core\numeric.py:1420(normalize_axis_tuple)
   476979    0.149    0.000    0.149    0.000 {built-in method numpy.asarray}
    29567    0.090    0.000    0.129    0.000 C:\Users\Admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\numpy\_core\shape_base.py:80(atleast_2d)
      384    0.009    0.000    0.090    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:7217(_cylinder_bloom_card_state)
      768    0.016    0.000    0.084    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:6177(_circle_line_vertices)
      864    0.004    0.000    0.084    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:12219(_set_mesh_from_segment)
     3384    0.013    0.000    0.078    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:12279(_set_line_item_data)
   304570    0.075    0.000    0.075    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1536    0.002    0.000    0.074    0.000 C:\Users\Admin\Documents\GitHub\pneumo2\pneumo2_R31CN_HF8_repo_root\pneumo_solver_ui\desktop_animator\app.py:12112(_solver_local_point)
